title,categories/keyword,author_tags,title_tfidf
canine bocavirus type infection associated intestinal lesionsarticleopen access,veterinary pathology,bocavirus canine minute virus dog genetic analysis pathology recombination animal experiment animal tissue article autopsy bacteriology bocaparvovirus bocavirus infection bocavirus type cause death dog dyspnea gene sequence genetic analysis genetic recombination hemoptysis immunohistochemistry situ hybridization intestine injury next generation sequencing nonhuman open reading frame polymerase chain reaction puppy transmission electron microscopy virology virus strain animal bocaparvovirus classification dog disease parvovirus infection pathology veterinary medicine animal bocavirus dog disease dog parvoviridae infection polymerase chain reaction,[0. 0. 0. ... 0. 0. 0.]
vonoprazan versus protonpump inhibitor gastric endoscopic submucosal dissectioninduced ulcer systematic review metaanalysisreview,european journal gastroenterology hepatology,bleeding endoscopic submucosal dissection gastric neoplasm protonpump inhibitor vonoprazan proton pump inhibitor vonoprazan fluorophenylpyridinylsulfonylhpyrrolylnmethylmethanamine proton pump inhibitor pyrrole derivative sulfonamide drug potency endoscopic submucosal dissection human meta analysis postoperative complication priority journal review risk factor stomach hemorrhage stomach perforation stomach ulcer systematic review ulcer healing comparative study drug effect endoscopic mucosal resection stomach tumor stomach ulcer wound healing endoscopic mucosal resection human proton pump inhibitor pyrroles stomach neoplasm stomach ulcer sulfonamide wound healing,[0. 0. 0. ... 0. 0. 0.]
efficiency carbon dioxide hydrogen sulphide adsorption using impregnated granular activated carbon zeolitearticleopen access,journal physical science,activated carbon carbon dioxide adsorption coand h adsorption hydrogen sulphide adsorption polyethyleneimine chemical vapour deposition granular activated carbon zeolite activated carbon adsorbent carbon dioxide chemical vapor deposition desulfurization gas adsorption granular material hydrogen sulfide scanning electron microscopy sulfur compound zeolite adsorption capacity adsorption selectivity carbon dioxide adsorption chemical vapour deposition granular activated carbon impregnation process initial concentration zeolitea lithium compound,[0. 0. 0. ... 0. 0. 0.]
insecticidal activity thai botanical extract development stage german cockroach blattella germanica l orthoptera blattellidaearticle,southeast asian journal tropical medicine public health,blattella germanica botanical extract german cockroach insecticidal activity,[0. 0. 0. ... 0. 0. 0.]
gonadotropinreleasing hormonemodified chitosan safe efficient gene delivery vector spermatogonia cellsarticle,reproduction domestic animal,chitosan gonadotropinreleasing hormone spermatogonia testismediated gene transfer chitosan dna gonadorelin green fluorescent protein animal cell line chemistry cytology gene transfer genetic transfection genetics male mouse spermatogonium veterinary medicine animal cell line chitosan dna gene transfer technique gonadotropinreleasing hormone green fluorescent protein male mouse spermatogonia transfection,[0. 0. 0. ... 0. 0. 0.]
insulin rescue cortical trabecular bone loss type diabetic gotokakizaki ratsarticleopen access,journal physiological science,blood glucose bone mineral density diabetes mellitus diabetic osteopathy gotokakizaki rat calcium animal female metabolic bone disease metabolism non insulin dependent diabetes mellitus rat wistar rat animal bone disease metabolic calcium diabetes mellitus type female rat rat wistar,[0. 0. 0. ... 0. 0. 0.]
metal accumulation marine bivalve marcia optimum collected coastal area phuket bay thailandarticle,environmental science pollution research,marcia optimum metal phuket risk assessment sediment bioaccumulation bivalve coastal zone concentration composition dietary intake health risk heavy metal marine ecosystem risk assessment seafood sediment pollution water quality phuket southern region southern region thailand bivalvia heavy metal analysis animal bay bivalve chemistry dietary exposure drug effect food contamination human risk assessment sediment shellfish thailand water pollutant animal bay bivalvia dietary exposure food contamination geologic sediment human metal heavy risk assessment shellfish thailand water pollutant chemical,[0. 0. 0. ... 0. 0. 0.]
original documentlearn erratum linking scopus,journal natural medicine,erratum erratum,[0. 0. 0. ... 0. 0. 0.]
effect exposed ceria morphology catalytic activity goldceria catalyst preferential oxidation carbon monoxidearticle,chemical engineering journal,ceria crystalplane gold hydrogen preferential co oxidation carbon monoxide catalytic oxidation cerium compound cerium oxide chromium compound crystal gold hydrogen morphology oxidation active specie au catalyst co conversion crystal plane lower temperature oxygen molecule preferential co oxidation preferential oxidation carbon monoxide catalyst activity,[0. 0. 0. ... 0. 0. 0.]
polymorphism merozoite surface proteine plasmodium vivax thailand natural selection related protein secondary structurearticleopen access,plo one,epitope membrane protein merozoite surface protein plasmodium protozoal protein alpha helix amino acid substitution amino terminal sequence article b lymphocyte carboxy terminal sequence cd lymphocyte controlled study gene gene locus genetic polymorphism genetic recombination genetic selection genetic variation haplotype human intragenic recombination msp e gene natural selection plasmodium vivax population genetic structure positive selection protein binding protein secondary structure purifying selection thailand dna sequence genetic polymorphism genetic selection genetics parasitology plasmodium vivax plasmodium vivax malaria protein secondary structure genetic variation human malaria vivax membrane protein plasmodium vivax polymorphism genetic protein structure secondary protozoan protein selection genetic sequence analysis dna thailand,[0. 0. 0. ... 0. 0. 0.]
groundwater river interaction parameter estimation saigon river vietnamarticleopen access,engineering journal,function interaction parameter interaction pattern volume saigon river,[0. 0. 0. ... 0. 0. 0.]
evolution trump image russian medium,american behavioral scientist,mass medium nomination russiausa relation trump army article budget climate content analysis france israel mass medium narrative north korea publication russian federation syrian arab republic validation process,[0. 0. 0. ... 0. 0. 0.]
updating recommendation treatment tardive syndrome systematic review new evidence practical treatment algorithmreview,journal neurological science,evidencebased guideline tardive dyskinesia tardive syndrome treatment algorithm clozapine deutetrabenazine haloperidol olanzapine risperidone tetrabenazine thiopropazate valbenazine zonisamide algorithm brain depth stimulation disease severity human priority journal review systematic review tardive dyskinesia akathisia algorithm evidence based practice practice guideline tardive dyskinesia akathisia druginduced algorithm evidencebased practice human practice guideline topic tardive dyskinesia,[0. 0. 0. ... 0. 0. 0.]
multiobjective optimization laser solder jet bonding process head gimbal assembly using response surface methodologyarticle,optic laser technology,fiber laser laser solder jet bonding multiobjective optimization response surface methodology shear strength fiber bonding fiber laser magnetic disk storage multiobjective optimization nitrogen shear flow shear strength soldering surface property bonding parameter head gimbal assembly joint shear strength mathematical relationship nitrogen gas pressure response surface methodology solder jet static attitude fighter aircraft,[0. 0. 0. ... 0. 0. 0.]
factor associated selfmanagement among vietnamese adult type diabetesarticleopen access,nursing open,selfefficacy selfmanagement type diabetes,[0. 0. 0. ... 0. 0. 0.]
measurement characteristic parameter gb bidirectional optical amplifier xgponconference paper,proceeding spie international society optical engineering,bidirectional optical amplifier edfa soa xgpon amplifier electronic electric power utilization electromagnetic wave attenuation fluidized bed combustion hand held computer optical switch optical waveguide passive optical network photonics polarization semiconductor optical amplifier bidirectional optical amplifier bidirectional amplifier passive optical network pon polarization controller polarization dependence polarization dependent loss variable optical attenuator xgpon erbium doped fiber amplifier,[0. 0. 0. ... 0. 0. 0.]
nanocellulose extraction applicationreviewopen access,carbon resource conversion,application biomass cellulose extraction nanocellulose fiber outlook ball milling extraction industrial research nanocellulose extraction method high surface area hydroxyl group industrial area application nanocellulose nanocellulose fiber outlook property research area biomass,[0. 0. 0. ... 0. 0. 0.]
visible light active photocatalytic cdoped titanium dioxide film deposited via reactive pulsed dc magnetron cosputtering property photocatalytic activityarticleopen access,vacuum,carbon doping magnetron sputtering photocatalyst titanium dioxide visible light responsive aromatic compound coating deposition irradiation light magnetron sputtering oxide photocatalysis photocatalysts reactive sputtering semiconductor doping sputter deposition sputtering titanium titanium compound carbon doping photocatalytic activity photocatalytic property photoinduced hydrophilicity reactive magnetron cosputtering visible light photocatalytic activity visible light responsive visible spectrophotometries titanium dioxide,[0. 0. 0. ... 0. 0. 0.]
detection classical swine fever virus csfv e ernsantibody igg iga oral fluid specimen inoculated ald strain vaccinated lom strain pigsarticle,veterinary microbiology,classical swine fever virus e ern iga igg oral fluid serum glycoprotein e glycoprotein e immunoglobulin antibody immunoglobulin g antibody live vaccine immunoglobulin immunoglobulin g virus antibody virus vaccine animal experiment animal model anorexia antibody response article bleeding classical swine fever virus constipation controlled study cost effectiveness analysis diarrhea enzyme linked immunosorbent assay fever fluid intake hek cell line human human cell lethargy nonhuman pestivirus pig splenomegaly virus concentration virus neutralization virus viability animal blood body fluid classical swine fever classical swine fever virus cross reaction diagnostic imaging immunology isolation purification procedure vaccination virology animal antibody viral body fluid classical swine fever classical swine fever virus cross reaction enzymelinked immunosorbent assay immunoglobulin immunoglobulin g swine vaccination viral vaccine,[0. 0. 0. ... 0. 0. 0.]
generalization slightly compressible modulesarticleopen access,journal mathematical fundamental science,compressible module msightly compressible module slightly compressible module,[0. 0. 0. ... 0. 0. 0.]
dna methylation status interspersed repetitive sequence line alu herve hervk trabeculectomy specimen glaucoma eyesarticleopen access,journal ophthalmology,,[0. 0. 0. ... 0. 0. 0.]
integrated program home bloodpressure monitoring village health volunteer treating poorly controlled hypertension primary care level urban community thailandarticleopen access,integrated blood pressure control,adherence hypertension patient health literacy chronic disease lifestyle management knowledge selfmanagement behavior adult article blood pressure monitoring body mass controlled study diastolic blood pressure female follow home care human hypertension knowledge lifestyle modification major clinical study male outcome assessment primary medical care self care systolic blood pressure thailand urban population,[0. 0. 0. ... 0. 0. 0.]
elliptic flow charm strange hadron highmultiplicity ppb collision snn tevarticleopen access,physical review letter,binary alloy hadron vanadium alloy azimuthal anisotropy azimuthal correlation centerofmass energy collective behavior elliptic flow high multiplicity nucleonnucleon pbpb collision lead alloy,[0. 0. 0. ... 0. 0. 0.]
prevalence somatic kcnj mutation thai patient aldosteroneproducing adrenal adenomasarticleopen access,journal endocrine society,aldosteroneproducing adrenal adenoma kcnj somatic mutation thai patient aldosterone renin adrenal cortex adenoma adrenalectomy adult aged aldosterone blood level article comorbidity comparative study computer assisted tomography diastolic blood pressure dna damage dna extraction female follow gene mutation gene sequence genetic analysis genetic association human human tissue hyperkalemia hypertension hypokalemia laparoscopic surgery major clinical study male nuclear magnetic resonance imaging outcome assessment plasma renin activity postoperative complication prevalence priority journal retrospective study sequence analysis somatic mutation systolic blood pressure tertiary care center treatment outcome zona fasciculata,[0. 0. 0. ... 0. 0. 0.]
methylcytosine containing cg decamer zdna embedded sequence potential zdna binding protein probearticle,nucleoside nucleotide nucleic acid,methylcytosine circular dichroism nmr zdna zdna binding protein methylcytosine dna b dna binding protein dna z oligonucleotide methylcytosine dna binding protein dna z protein binding article circular dichroism controlled study dna conformation dna methylation dna probe dna sequence embedding nucleotide sequence oligonucleotide probe protein immobilization proton nuclear magnetic resonance quartz crystal microbalance surface plasmon resonance chemistry genetic procedure procedure methylcytosine biosensing technique dna zform dnabinding protein protein binding,[0. 0. 0. ... 0. 0. 0.]
facile conversion atpbinding rna aptamer quencherfree molecular aptamer beaconarticle,bioorganic medicinal chemistry letter,aptamer molecular beacon atpbinding aptamer fluorescence sensor quecherfree molecular beacon quencherfree molecular aptamer beacon adenosine triphosphate aptamer adenosine triphosphate aptamer fluorescent dye rna article binding site concentration parameter dna hairpin fluorescence analysis gene conversion molecular beacon nucleoside transport quencher free molecular aptamer beacon rna binding rna conformation rna probe rna sequence rna structure signal transduction chemistry fluorescence spectrofluorometry adenosine triphosphate aptamers nucleotide binding site fluorescence fluorescent dye rna spectrometry fluorescence,[0. 0. 0. ... 0. 0. 0.]
adiponectin novel biomarker liver fibrosisshort surveyopen access,world journal hepatology,adiponectin biomarker chronic liver disease hyperadiponectinemia liver fibrosis,[0. 0. 0. ... 0. 0. 0.]
metakaolin based geopolymer thailand adsorbent adsorption multi monocations aqueous solutionconference paper,key engineering material,adsorption geopolymer heavy metal metakaolin wastewater adsorption alkalinity efficiency geopolymers heavy metal lead removal water treatment metal ion positive ion waste management wastewater wastewater treatment water quality adsorption process alkaline solution amorphous structure bet surface area contact time geopolymer geopolymer material metakaolins inorganic polymer,[0. 0. 0. ... 0. 0. 0.]
data support photosynthetic response chromosome segment substitution line khao dawk mali rice seedling stagedata paperopen access,data brief,physiological model physiology plant botany sodium chloride chromosome segment substitution line genetic background normal condition parental line photosynthetic parameter photosynthetic response physiological response rice plant salt stress salt tolerance chromosome,[0. 0. 0. ... 0. 0. 0.]
modulated expression hiv ltr zinc finger efficiently interferes hiv integration processarticleopen access,bioscience report,doxycycline lentivirus vector protein ltr tetracycline unclassified drug zinc finger protein doxycycline tetracycline zinc finger protein antiviral activity article controlled study gene expression gene therapy hematopoietic cell line human immunodeficiency virus infection nonhuman pluripotent stem cell protein expression protein stability supt cell line lymphocyte therapy effect virus dna cell dna interaction virus induction virus interference virus replication dose response drug effect gene expression regulation gene vector genetics hek cell line human human immunodeficiency virus human immunodeficiency virus infection lentivirus long terminal repeat pathogenicity physiology procedure transgene virology virus dna cell dna interaction doseresponse relationship drug doxycycline gene expression regulation genetic therapy genetic vector hek cell hiv infection hiv long terminal repeat hiv human lentivirus pluripotent stem cell tetracycline transgene virus integration zinc finger,[0. 0. 0. ... 0. 0. 0.]
networkbased association analysis infer new diseasegene relationship using largescale protein interactionsarticleopen access,plo one,algorithm area curve article blister cerebellar ataxia disease gene association algorithm disorder lipid metabolism genetic association genetic selection human inborn error metabolism inflammation malignant neoplasm mental deterioration muscular dystrophy prediction protein interaction protein protein interaction uterine cervix cancer xanthomatosis algorithm artificial neural network biological model biology disease predisposition gene expression profiling genetic association study genetic predisposition procedure protein analysis receiver operating characteristic reproducibility algorithm computational biology disease susceptibility gene expression profiling genetic association study genetic predisposition disease model biological neural network computer protein interaction mapping protein interaction map reproducibility result roc curve,[0. 0. 0. ... 0. 0. 0.]
high performance photosynthesis osmotic adjustment associated salt tolerance ability rice carrying drought tolerance qtl physiological coexpression network analysisarticleopen access,frontier plant science,coexpression network drought tolerance qtl osmotic adjustment photosynthesis rice salt stress,[0. 0. 0. ... 0. 0. 0.]
coping end commodity boom rubber smallholder southern thailand oscillating nearpoverty middleclass statusarticleopen access,journal developing society,boom bust cycle community development diversification rubber smallholder rural development thailand commodity community development leadership political economy questionnaire survey rubber rural development smallholder socioeconomic condition vulnerability thailand,[0. 0. 0. ... 0. 0. 0.]
defining spasticity new approach considering current movement disorder terminology botulinum toxin therapyarticle,journal neurology,botulinum toxin therapy contracture dystonia rigidity spasm spasticity treatment botulinum toxin botulinum toxin neurotoxin article central nervous system disease disease classification dystonia human hyperactivity involuntary movement joint function motor dysfunction muscle rigidity muscle spasm paresis pathophysiology priority journal spasticity motor dysfunction spasticity botulinum toxin human movement disorder muscle spasticity neurotoxin,[0. 0. 0. ... 0. 0. 0.]
solvatochromicbased sensor chromiumiii real systemsarticle,new journal chemistry,ampholyte chromium lactone derivative metal ion rhodamine aqueous solution article colorimetry complex formation fluorescence priority journal spectrofluorometry,[0. 0. 0. ... 0. 0. 0.]
hypertonic saline versus isotonic saline nasal irrigation systematic review metaanalysisarticle,american journal rhinology allergy,hypertonic saline isotonic saline mucociliary clearance nasal irrigation nasal lavage randomized controlled trial rhinitis rhinosinusitis sinonasal disease sinonasal outcome test hypertonic solution isotonic saline isotonic solution sodium chloride unclassified drug isotonic solution sodium chloride age article human meta analysis nasal lavage paranasal sinus disease randomized controlled trial topic rhinitis rhinosinusitis systematic review animal comparative study drug effect mucociliary clearance nasal lavage nose disease paranasal sinus pathology procedure rhinitis sinusitis treatment outcome animal human isotonic solution mucociliary clearance nasal lavage nose disease paranasal sinus randomized controlled trial topic rhinitis saline solution hypertonic sinusitis treatment outcome,[0. 0. 0. ... 0. 0. 0.]
vitro neutralization yellow head virus infection shrimp using recombinant pmyrp proteinarticle,aquaculture,infection neutralization recombinant pmyrp protein shrimp yellow head virus yhv cell cell component chemical binding crustacean genetic analysis infectious disease laboratory method neutralization protein recombination shrimp culture viral disease thailand decapoda crustacea yellow head virus,[0. 0. 0. ... 0. 0. 0.]
enhanced cocapturing ultramicroporous carbon nitrogenactive specie prepared using onestep carbonization polybenzoxazine sustainable environmentarticle,journal environmental management,activated carbon coadsorption nitrogen functionality polybenzoxazine porous carbon isopropylidenediphenol activated carbon amine benzoxazine derivative carbon dioxide dipyrone formaldehyde natural gas oxide polybenzoxazine sulfapyridine triethylenepentamine unclassified drug carbon nitrogen absorption activated carbon adsorption atmospheric pressure carbon dioxide natural gas nitrogen performance assessment porous medium surface area ultrastructure absorption adsorption article atmospheric pressure chemical composition desorption environmental sustainability photoelectron spectroscopy porosity pressure scanning electron microscopy storage surface area synthesis temperature x ray diffraction isolation purification adsorption carbon carbon dioxide nitrogen porosity,[0. 0. 0. ... 0. 0. 0.]
cyclodextrins structure physicochemical property pharmaceutical applicationsarticle,international journal pharmaceutic,aggregate aqueous solution cyclodextrins inclusion complex pharmaceutical solubility waterinsoluble drug cyclodextrin excipient penetration enhancing agent cyclodextrin excipient article biomembrane chemical structure drug bioavailability drug penetration drug solubility hydrophilicity molecular weight patent pharmaceutic physical chemistry priority journal protein structure solubilization animal chemistry drug legislation drug release human animal cyclodextrins drug liberation excipients human legislation drug molecular structure,[0. 0. 0. ... 0. 0. 0.]
result randomized doubleblind placebocontrolled phase iii trial trifluridinetipiracil ta monotherapy asian patient previously treated metastatic colorectal cancer terra studyarticle,journal clinical oncology,alanine aminotransferase alkaline phosphatase aspartate aminotransferase bevacizumab bilirubin cetuximab creatinine fluorouracil irinotecan k ra protein oxaliplatin panitumumab placebo tipiracil plus trifluridine antineoplastic agent kras protein human protein p trifluridine trifluridine tipiracil abdominal discomfort acute kidney failure adult aged alanine aminotransferase blood level alkaline phosphatase blood level article asian aspartate aminotransferase blood level asthenia bilirubin blood level biological therapy bone marrow depression cancer combination chemotherapy cancer localization cancer patient chemotherapy induced anemia chemotherapy induced emesis china colorectal carcinoma controlled study creatinine blood level decreased appetite diarrhea double blind procedure drug efficacy drug exposure drug safety drug tolerability drug withdrawal dyspnea faintness fatigue febrile neutropenia female follow heart palpitation histopathology human hypercalcemia hyperglycemia hyperkalemia hypertension hypertransaminasemia hypoalbuminemia hypocalcemia hypokalemia hyponatremia intention treat analysis intestine obstruction leukopenia liver dysfunction liver failure liver injury lymphocytopenia lymphocytosis major clinical study male metastatic colorectal cancer middle aged monotherapy mortality risk multicenter study neutropenia overall survival patient history chemotherapy peripheral edema phase clinical trial pneumonia priority journal randomized controlled trial side effect south korea stomatitis thailand thrombocytopenia treatment duration upper respiratory tract infection adenocarcinoma asia clinical trial colorectal tumor drug administration drug combination genetics mortality mutation oral drug administration pathology secondary time factor elderly young adult adenocarcinoma administration oral adult aged aged antineoplastic agent asia colorectal neoplasm doubleblind method drug administration schedule drug combination female human male middle aged mutation progressionfree survival protooncogene protein pras time factor trifluridine young adult,[0. 0. 0. ... 0. 0. 0.]
spectroscopic study indigo dye aqueous solution combined experimental tddft studyarticle,journal luminescence,dft dispersion indigo tddft uvvisible spectrum absorption spectroscopy dispersion wave electronic structure ground state molecule optical property solution solvent spectroscopic analysis vat dye indigo solvent effect spectroscopic study tddft theoretical method time dependent density functional theory visible spectrum water molecule density functional theory,[0. 0. 0. ... 0. 0. 0.]
hydrogen power generation supercritical water reforming glycerol pressurized sofc integrated system use different coadsorption processarticle,international journal hydrogen energy,coremoval process glycerol pressurized reforming solid oxide fuel cell supercritical water carbon dioxide glycerol hydrogen production integrated control lime reforming reaction co removal electrical performance operating condition performance analysis pressurized supercritical water supercritical water reforming temperature pressure solid oxide fuel cell sofc,[0. 0. 0. ... 0. 0. 0.]
investigation sign language recognition performance integration multiple feature element classifiersconference paper,lecture note computer science including subseries lecture note artificial intelligence lecture note bioinformatics,classifier color glove ensemble learning feature element optical camera sign language audition camera classifier computational linguistics computer aided language translation strain gage ensemble learning feature element healthy individual machine translation motion trajectory optical camera sign language sign language recognition classification information,[0. 0. 0. ... 0. 0. 0.]
cytosolic sensor pmddx mediates antiviral immune response black tiger shrimp penaeus monodonarticle,developmental comparative immunology,antiviral response ddx dnasensing pathway shrimp immunity white spot syndrome virus messenger rna phosphate buffered saline arthropod protein ddx protein human dead box protein double stranded rna kappa b kinase virus dna alfp gene apis florea article cactus gene controlled study ddx gene dorsal gene drosophila melanogaster gene gene expression gene repression gene silencing ikkb gene ikke gene limit quantitation nonhuman open reading frame pen gene pen gene penaeus monodon priority journal relish gene rna interference rna virus upregulation vibrio harveyi white spot syndrome virus yellow head virus animal artemia bee cytosol dna virus infection drosophila genetics immunology innate immunity metabolism phylogeny signal transduction animal artemia arthropod protein bee cytosol deadbox rna helicases dna virus infection dna viral drosophila gene silencing ikappa b kinase immunity innate phylogeny rna doublestranded signal transduction upregulation white spot syndrome virus,[0. 0. 0. ... 0. 0. 0.]
tensor network study two dimensional lattice theoryconference paper,proceeding science,computation theory intelligent system monte carlo method numerical method statistical mechanic tensor computational cost critical coupling extrapolation procedure numerical result spacetime volume tensor renormalization thermodynamic limit twodimensional lattice lattice theory,[0. 0. 0. ... 0. 0. 0.]
effect abcc slcob polymorphism treatment response thai metastatic colorectal cancer patient treated irinotecanbased chemotherapyarticle,asian pacific journal cancer prevention,abcc irinotecan metastatic colorectal cancer slcob antineoplastic agent irinotecan multidrug resistance associated protein multidrug resistanceassociated protein slcob protein human allele colorectal tumor female gene frequency genetics human male middle aged prospective study single nucleotide polymorphism thailand treatment outcome allele antineoplastic agent colorectal neoplasm female gene frequency human irinotecan liverspecific organic anion transporter male middle aged multidrug resistanceassociated protein polymorphism single nucleotide prospective study thailand treatment outcome,[0. 0. 0. ... 0. 0. 0.]
optimization process parameter using response surface methodology pdii extraction quaternary ammonium salt chloride medium kinetic thermodynamics studyarticle,chemical paper,ccd isotherm model lle optimization pdii purification rsm,[0. 0. 0. ... 0. 0. 0.]
influence clitoria ternatea flower extract vitro enzymatic digestibility starch application breadarticleopen access,food,clitoria ternatea l flower extract hydrolysis index vitro starch digestibility predicted glycemic index,[0. 0. 0. ... 0. 0. 0.]
evidence higgs boson decay bottom quarkantiquark pairarticleopen access,physic letter section b nuclear elementary particle highenergy physic,cm higgs physic,[0. 0. 0. ... 0. 0. 0.]
high temperature multidimensional gas chromatographic approach improved separation triacylglycerols olive oilarticleopen access,journal chromatography,comprehensive sampling heartcut multidimensional gc olive oil triacylglycerols gas chromatography glycerol separation flow condition heart cut high temperature retention time sampling strategy temperature programmed triacylglycerols olive oil olive oil triacylglycerol olive oil triacylglycerol article chemical procedure concentration parameter controlled study cryotrap flame ionization detection flow rate gas chromatography gas flow high temperature multidimensional gas chromatographic approach priority journal retention time separation technique chemistry flow kinetics gas chromatography isolation purification procedure temperature chromatography gas flame ionization olive oil rheology temperature triglyceride,[0. 0. 0. ... 0. 0. 0.]
correlation plasma microrna expression bone turnover marker postmenopausal womenarticle,climacteric,bone mineral density bone turnover marker cterminal crosslinked telopeptide type collagen epigenetic microrna postmenopausal osteoporosis procollagen type nterminal propeptide biological marker carboxy terminal telopeptide microrna microrna p n terminal propeptide type procollagen procollagen unclassified drug biological marker collagen type microrna mirn microrna human peptide peptide fragment procollagen adult age aged article blood level blood sampling bone density bone turnover crosssectional study female femoral neck gene expression hip human lumbar spine major clinical study osteopenia osteoporosis postmenopause priority journal protein blood level thai citizen blood bone density bone remodeling diagnostic imaging lumbar vertebra middle aged photon absorptiometry postmenopause postmenopause osteoporosis elderly absorptiometry photon adult aged aged biomarkers bone density bone remodeling collagen type crosssectional study female human lumbar vertebra micrornas middle aged osteoporosis postmenopausal peptide fragment peptide postmenopause procollagen,[0. 0. 0. ... 0. 0. 0.]
enhanced stability propene yield propane dehydrogenation ptinmgalo catalyst various loadingsarticle,topic catalysis,hydrotalcite indium propane dehydrogenation ptin bimetallic catalyst xps atmospheric pressure binary alloy dehydrogenation indium platinum propane propylene x ray photoelectron spectroscopy bimetallic catalyst catalytic performance dehydrogenation propane enhanced stability hydrotalcites propane dehydrogenation propene selectivity propylene selectivity catalyst activity,[0. 0. 0. ... 0. 0. 0.]
search excited quark light heavy flavor jet final state protonproton collision stevarticleopen access,physic letter section b nuclear elementary particle highenergy physic,cm excited quark physic,[0. 0. 0. ... 0. 0. 0.]
impact por cypa polymorphism trough concentration dose ratio tacrolimus early postoperative period following kidney transplantationarticle,therapeutic drug monitoring,cypa genetic polymorphism kidney transplantation por tacrolimus albumin basiliximab cytochrome p cytochrome p reductase genomic dna hemoglobin methylprednisolone methylprednisolone sodium succinate mycophenolate mofetil mycophenolic acid panel reactive antibody prednisolone tacrolimus cytochrome p cytochrome p immunosuppressive agent por protein human tacrolimus acute graft rejection adult age albumin blood level article blood sampling clinical trial continuous ambulatory peritoneal dialysis dose ratio drug exposure female gene frequency gene linkage disequilibrium graft recipient hemodialysis hemoglobin blood level hla matching human immunosuppressive treatment kidney graft rejection kidney transplantation loading drug dose major clinical study male postoperative period priority journal protein protein interaction renal replacement therapy retrospective study single nucleotide polymorphism trough concentration blood dose response genetic polymorphism genetics genotype middle aged postoperative period time factor young adult adult cytochrome p cypa cytochrome p enzyme system doseresponse relationship drug female gene frequency genotype human immunosuppressive agent kidney transplantation male middle aged polymorphism genetic postoperative period tacrolimus time factor young adult,[0. 0. 0. ... 0. 0. 0.]
occurrence bovine tuberculosis among cattle herd nomadic periurban settlement cattle slaughtered municipal abattoir bauchi northeastern nigeriaarticleopen access,journal advanced veterinary animal research,bauchi state northeastern nigeria ppd,[0. 0. 0. ... 0. 0. 0.]
deproteinized natural rubber electrically controllable transdermal drugdelivery patcharticle,journal polymer environment,deproteinized natural rubber iontophoresis plasticizer sulindac transdermal drug delivery electric field electrophoresis electrotherapeutics plasticizer pore size reinforced plastic rubber silicone targeted drug delivery electrical potential franz diffusion cell iontophoresis optical micrographs permeation behavior permeation characteristic sulindac transdermal drug delivery controlled drug delivery additive drug polymer rubber,[0. 0. 0. ... 0. 0. 0.]
search vectorlike b quark pair final state lepton tevarticleopen access,journal high energy physic,hadronhadron scattering experiment vectorlike quark,[0. 0. 0. ... 0. 0. 0.]
search decay stopped exotic longlived particle produced protonproton collision tevarticleopen access,journal high energy physic,beyond standard model hadronhadron scattering experiment,[0. 0. 0. ... 0. 0. 0.]
finding impact factor rejection pull request githubconference paper,acm international conference proceeding series,ansible association rule data mining github pull request association rule computer programming language data mining ansible code change code complexity code quality github impact factor project cost pull request code symbol,[0. 0. 0. ... 0. 0. 0.]
interrogation ethnomedicinal plant synthetic lethality effect combination deficiency dna repair endonuclease rad using yeast cellbased assayarticle,journal ethnopharmacology,chemical genetics colorectal cancer ethnomedicinal plant synthetic lethality yeast bacopa monnieri extract colubrina asiatica extract ethidium bromide plant extract protein rad unclassified drug dna ligase endonuclease plant extract rad protein cerevisiae saccharomyces cerevisiae protein apoptosis article assay bacopa monnieri caco cell line cell growth controlled study dna repair drug mechanism excision repair genetic analysis growth inhibition human human cell lethality traditional medicine yeast cell based assay bacopa cell proliferation colubrina drug effect genetics growth development aging medicinal plant saccharomyces cerevisiae traditional medicine bacopa caco cell cell proliferation colubrina dna repair enzyme endonuclease human medicine traditional plant extract plant medicinal saccharomyces cerevisiae saccharomyces cerevisiae protein,[0. 0. 0. ... 0. 0. 0.]
assessment heavy metal sediment saphan hin phuketarticle,chemical engineering transaction,heavy metal inductively coupled plasma pollution detection trace element water pollution aquaregia digestion correlation analysis crustal material enrichment factor geoaccumulation index inductively coupled plasma optical emission spectrometer metal concentration sediment quality guideline sediment,[0. 0. 0. ... 0. 0. 0.]
design control smallscale isolated concentrated solar power generation unitarticle,industrial engineering chemistry research,constraint satisfaction problem electric power utilization flowcharting heat transfer heating rankine cycle robust control solar energy solar power generation temperature concentrated solar power control strategy design control generate electricity overall process efficiency power generation unit simultaneous design control transient operation electric power generation,[0. 0. 0. ... 0. 0. 0.]
effect ureaextracted sericin melanogenesis potential application postinflammatory hyperpigmentationarticleopen access,biological research,antityrosinase melanogenesis mitf post inflammatory hyperpigmentation sericin microphthalmia associated transcription factor monophenol monooxygenase sericin transcription factor antagonist inhibitor cell culture drug effect electron microscopy human hyperpigmentation hypersensitivity inflammation keratinocyte melanocyte signal transduction ultrastructure cell cultured human hyperpigmentation hypersensitivity inflammation keratinocytes melanocyte microphthalmiaassociated transcription factor microscopy electron monophenol monooxygenase sericins signal transduction transcription factor,[0. 0. 0. ... 0. 0. 0.]
