title,categories/keyword,author_tags
compressive strength and setting time modification of class c fly ash-based geopolymer partially replaced with kaolin and metakaolin(conference paper),key engineering materials,"['class c fly ash-based geopolymer', 'compressive strength', 'kaolin', 'metakaolin', 'setting time', 'calcination', 'calcium silicate', 'ceramic materials', 'clay', 'compressive strength', 'fly ash', 'geopolymers', 'inorganic polymers', 'iron oxides', 'kaolin', 'lime', 'mica', 'potassium hydroxide', 'silicates', 'calcium silicate hydrate', 'geopolymer', 'initial setting time', 'metakaolins', 'microstructure evaluations', 'replacement materials', 'setting time', 'solid/liquid ratios', 'c (programming language)']"
a trichosporonales genome tree based on 27 haploid and three evolutionarily conserved ‘natural’ hybrid genomes(article)(open access),yeast,"['backbone tree based on genome data', 'cutaneotrichosporon (trichosporon) mucoides', 'interspecies hybrid genome', 'trichosporon coremiiforme', 'trichosporon ovoides', 'amino acid sequence', 'article', 'controlled study', 'cutaneotrichosporon dermatis', 'cutaneotrichosporon mucoides', 'fungal genome', 'genome analysis', 'haploidy', 'hybridization', 'nonhuman', 'phylogenetic tree', 'priority journal', 'saccharomyces bayanus', 'saccharomyces pastorianus', 'trichosporon beigelii', 'trichosporon coremiiforme', 'trichosporonales', 'yeast', 'basidiomycetes', 'evolution', 'genetics', 'yeast', 'basidiomycota', 'biological evolution', 'genome, fungal', 'haploidy', 'hybridization, genetic', 'yeasts']"
evaluation of liner responses due to non-uniform tail void grouting pressure(note),geomechanics and geoengineering,"['finite element analysis', 'tail void grout', 'tunnel liner', 'word']"
a robust intracellular metabolite extraction protocol for human neutrophil metabolic profiling(article)(open access),plos one,"['alcohol', 'amino acid', 'aminoacyl transfer rna', 'aromatic compound', 'carbohydrate', 'carbonyl derivative', 'lipid', 'nicotinamide', 'nucleoside', 'nucleotide', 'pentose phosphate', 'peptide', 'reduced nicotinamide adenine dinucleotide phosphate', 'reduced nicotinamide adenine dinucleotide phosphate oxidase', 'phorbol 13 acetate 12 myristate', 'adult', 'article', 'blood volume', 'cell count', 'cell isolation', 'cell metabolism', 'controlled study', 'enzyme activation', 'extraction', 'female', 'gene synthesis', 'glucose metabolism', 'glycolysis', 'heat shock', 'human', 'human cell', 'human experiment', 'incubation time', 'male', 'metabolome', 'middle aged', 'neutrophil', 'normal human', 'nuclear magnetic resonance', 'principal component analysis', 'proton nuclear magnetic resonance', 'respiratory burst', 'signal transduction', 'vitamin metabolism', 'drug effect', 'in vitro study', 'intracellular fluid', 'leukocyte activation', 'metabolism', 'metabolome', 'metabolomics', 'multivariate analysis', 'neutrophil', 'physiology', 'procedures', 'reproducibility', 'statistics and numerical data', 'adult', 'female', 'healthy volunteers', 'humans', 'in vitro techniques', 'intracellular fluid', 'male', 'metabolome', 'metabolomics', 'middle aged', 'multivariate analysis', 'neutrophil activation', 'neutrophils', 'proton magnetic resonance spectroscopy', 'reproducibility of results', 'respiratory burst', 'tetradecanoylphorbol acetate']"
identification and production of mouse scfv to specific epitope of enterovirus-71 virion protein-2 (vp2)(article),archives of virology,"['capsid protein', 'epitope', 'hybrid protein', 'neutralizing antibody', 'single chain fragment variable antibody', 'virus antibody', 'animal', 'biosynthesis', 'enterovirus a', 'enterovirus infection', 'escherichia coli', 'genetics', 'hand foot and mouth disease', 'human', 'immunology', 'institute for cancer research mouse', 'mouse', 'peptide library', 'virology', 'animals', 'antibodies, neutralizing', 'antibodies, viral', 'capsid proteins', 'enterovirus a, human', 'enterovirus infections', 'epitopes', 'epitopes, b-lymphocyte', 'escherichia coli', 'hand, foot and mouth disease', 'humans', 'mice', 'mice, inbred icr', 'peptide library', 'recombinant fusion proteins', 'single-chain antibodies']"
baricitinib treatment in a patient with a gain-of-function mutation in signal transducer and activator of transcription 1 (stat1)(article)(open access),journal of allergy and clinical immunology,"['adalimumab', 'antifungal agent', 'azathioprine', 'baricitinib', 'hydroxychloroquine', 'mycophenolate mofetil', 'stat1 protein', 'steroid', 'azetidine derivative', 'baricitinib', 'janus kinase inhibitor', 'stat1 protein', 'stat1 protein, human', 'sulfonamide', 'adult', 'article', 'case report', 'clinical article', 'female', 'gain of function mutation', 'human', 'immune response', 'mouth ulcer', 'mucocutaneous candidiasis', 'priority journal', 'vaginal ulcer', 'young adult', 'complication', 'gain of function mutation', 'genetics', 'immune deficiency', 'mucocutaneous candidiasis', 'azetidines', 'candidiasis, chronic mucocutaneous', 'female', 'gain of function mutation', 'humans', 'immunologic deficiency syndromes', 'janus kinase inhibitors', 'stat1 transcription factor', 'sulfonamides', 'young adult']"
"buffalo and various ruminant embryos production by inter-species, inter-genus and inter-subfamily somatic cell nuclear transfer(article)",buffalo bulletin,"['bovine', 'bubalus bubalis', 'buffalo', 'gaur', 'goat', 'iscnt', 'article', 'blastocyst', 'cell nucleus transplantation', 'controlled study', 'domestic goat', 'ear', 'embryo', 'embryo development', 'endangered species', 'female', 'fibroblast', 'gaur (cattle)', 'genus', 'human', 'human cell', 'in vitro study', 'nonhuman', 'oocyte', 'recipient', 'somatic cell', 'taurine cattle', 'water buffalo']"
aberrant expression of cd20 in thyroid cancer and its clinicopathologic significance(article),human pathology,"['braf mutation', 'cd20', 'immunohistochemistry', 'papillary thyroid carcinoma', 'thyroid cancer', 'b raf kinase', 'cd20 antigen', 'cd79a antigen', 'genomic dna', 'messenger rna', 'ms4a1 protein', 'transcription factor pax5', 'tumor protein', 'unclassified drug', 'b raf kinase', 'braf protein, human', 'cd20 antigen', 'tumor marker', 'adult', 'anaplastic thyroid carcinoma', 'antigen expression', 'article', 'b lymphocyte', 'clinical feature', 'cohort analysis', 'female', 'gene expression', 'gene mutation', 'human', 'human tissue', 'immunohistochemistry', 'major clinical study', 'male', 'poorly differentiated thyroid cancer', 'prevalence', 'thyroid adenoma', 'thyroid cancer', 'thyroid carcinoma', 'thyroid follicular carcinoma', 'thyroid medullary carcinoma', 'tissue microarray', 'adenoma', 'biosynthesis', 'carcinoma', 'genetics', 'middle aged', 'pathology', 'thyroid tumor', 'adenoma', 'adult', 'antigens, cd20', 'biomarkers, tumor', 'carcinoma', 'carcinoma, neuroendocrine', 'female', 'humans', 'male', 'middle aged', 'proto-oncogene proteins b-raf', 'thyroid cancer, papillary', 'thyroid neoplasms']"
"formulation, physical, in vitro and ex vivo evaluation of nanomedicine-based chemosterilant for non-surgical castration of male animals(article)",theriogenology,"['apoptosis-inducing agents', 'chemosterilant', 'free-roaming companion animal', 'nanoemulsion', 'overpopulation', 'chemosterilant', 'doxorubicin', 'animal', 'animal welfare', 'apoptosis', 'cat', 'dog', 'drug effect', 'germ cell', 'male', 'mouse', 'nanomedicine', 'pet animal', 'procedures', 'rat', 'reproductive sterilization', 'seminiferous tubule', 'veterinary medicine', 'animal welfare', 'animals', 'apoptosis', 'cats', 'chemosterilants', 'dogs', 'doxorubicin', 'germ cells', 'male', 'mice', 'nanomedicine', 'pets', 'rats', 'seminiferous tubules', 'sterilization, reproductive']"
an innovation model of alumni relationship management: alumni segmentation analysis(article)(open access),kasetsart journal of social sciences,"['cluster', 'data mining', 'segmentation analysis', 'university alumni']"
determinants and barriers to financial inclusion in myanmar: what determines access to financial services and what hinders it?(article),singapore economic review,"['financial inclusion', 'household saving', 'personal finance', 'education', 'financial services', 'household income', 'literacy', 'savings', 'myanmar']"
serum interleukin levels and insulin resistance in major depressive disorder(article),cns and neurological disorders - drug targets,"['cytokines', 'immune', 'inflammation', 'major depressive disorder', 'mental disorder', 'metabolism', 'biological marker', 'c reactive protein', 'cytokine', 'gamma interferon', 'interleukin 1beta', 'interleukin 4', 'transforming growth factor beta1', 'cytokine', 'adult', 'article', 'controlled study', 'enzyme linked immunosorbent assay', 'female', 'glucose blood level', 'homeostasis model assessment', 'human', 'immune system', 'inflammation', 'insulin blood level', 'insulin glucose ratio', 'insulin resistance', 'major clinical study', 'major depression', 'male', 'metabolic parameters', 'smoking habit', 'unemployment', 'adolescent', 'aged', 'blood', 'insulin resistance', 'major depression', 'middle aged', 'pathophysiology', 'physiology', 'psychological rating scale', 'sex factor', 'very elderly', 'young adult', 'adolescent', 'adult', 'aged', 'aged, 80 and over', 'blood glucose', 'correlation of data', 'cytokines', 'depressive disorder, major', 'female', 'humans', 'insulin resistance', 'male', 'middle aged', 'psychiatric status rating scales', 'sex factors', 'young adult']"
predictive role of serum hbsag and hbcrag kinetics in patients with hbeag-negative chronic hepatitis b receiving pegylated interferon–based therapy(article)(open access),clinical microbiology and infection,"['cccdna', 'chronic hepatitis b', 'hbcrag', 'hbsag', 'hepatitis b core-related antigen', 'hepatitis b virus', 'pegylated interferon', 'predictor', 'stopping rule', 'treatment response', 'alanine aminotransferase', 'circular dna', 'entecavir', 'hepatitis b surface antigen', 'hepatitis b(e) antigen', 'peginterferon', 'alpha interferon', 'antivirus agent', 'circular dna', 'entecavir', 'guanine', 'hepatitis b core antigen', 'hepatitis b surface antigen', 'hepatitis b(e) antigen', 'virus dna', 'adult', 'antiviral therapy', 'article', 'chronic hepatitis b', 'combination drug therapy', 'controlled study', 'correlational study', 'female', 'hepatitis b virus', 'human', 'long term care', 'major clinical study', 'male', 'prediction', 'predictive value', 'priority journal', 'randomized controlled trial', 'treatment outcome', 'treatment response', 'viral clearance', 'analogs and derivatives', 'asian continental ancestry group', 'blood', 'chronic hepatitis b', 'drug monitoring', 'liver', 'middle aged', 'prognosis', 'serum', 'virology', 'adult', 'antiviral agents', 'asian continental ancestry group', 'dna, circular', 'dna, viral', 'drug monitoring', 'female', 'guanine', 'hepatitis b core antigens', 'hepatitis b e antigens', 'hepatitis b surface antigens', 'hepatitis b, chronic', 'humans', 'interferon-alpha', 'liver', 'male', 'middle aged', 'prognosis', 'serum']"
new insights into neurocutaneous melanosis(article)(open access),pediatric radiology,"['brain', 'brainstem hypoplasia', 'cerebellar hypoplasia', 'children', 'congenital melanocytic nevus', 'magnetic resonance imaging', 'melanosis', 'neurocutaneous melanosis', 'gadolinium', 'melanin', 'contrast medium', 'amygdala', 'article', 'brain cortex', 'brain disease', 'brain malformation', 'brain stem', 'cerebellum', 'child', 'clinical article', 'contrast enhancement', 'conus medullaris', 'disease association', 'follow up', 'hemisphere', 'human', 'hydrocephalus', 'hypoplasia', 'infant', 'leptomeninx', 'melanosis', 'microgyria', 'myelination', 'neurocutaneous melanosis', 'nuclear magnetic resonance imaging', 'periventricular heterotopia', 'pigmented nevus', 'pons', 'priority journal', 'retrospective study', 'rhombencephalon', 'spine malformation', 'subarachnoid space', 'sylvian fissure', 'syringomyelia', 'tectum', 'thalamus', 'adolescent', 'diagnostic imaging', 'female', 'male', 'melanosis', 'newborn', 'nuclear magnetic resonance imaging', 'pathology', 'phakomatosis', 'preschool child', 'procedures', 'young adult', 'adolescent', 'child', 'child, preschool', 'contrast media', 'female', 'humans', 'infant', 'infant, newborn', 'magnetic resonance imaging', 'male', 'melanosis', 'neurocutaneous syndromes', 'retrospective studies', 'young adult']"
mass-radius bounds in massive gravity models(conference paper)(open access),journal of physics: conference series,"['astrophysics', 'accelerated expansion of the universe', 'compact objects', 'cosmological constants', 'gravity model', 'hydrostatic equilibrium', 'lower limits', 'radius ratio', 'spherical objects', 'gravitation']"
present and future surveillance of antimicrobial resistance in animals: principles and practices(article),microbiology spectrum,"['antiinfective agent', 'animal', 'antibiotic resistance', 'bacterial gene', 'bacterial infection', 'bacterium', 'drug effect', 'epidemiological monitoring', 'genetics', 'human', 'livestock', 'metagenomics', 'microbial sensitivity test', 'microbiology', 'molecular diagnosis', 'pathogenicity', 'procedures', 'sentinel surveillance', 'veterinary medicine', 'zoonosis', 'animals', 'anti-bacterial agents', 'bacteria', 'bacterial infections', 'drug resistance, bacterial', 'epidemiological monitoring', 'genes, bacterial', 'humans', 'livestock', 'metagenomics', 'microbial sensitivity tests', 'molecular diagnostic techniques', 'sentinel surveillance', 'zoonoses']"
rna sequencing data of notch ligand treated human dental pulp cells(data paper)(open access),data in brief,"['cytology', 'gene expression', 'ligands', 'cell-cycle progression', 'dental pulp cells', 'genes expression', 'high-throughput', 'immobilized ligands', 'in-vitro', 'jagged1', 'molecular mechanism', 'notch signaling', 'osteogenic differentiation', 'rna']"
associations of sleep quality with incident atrial fibrillation: a meta-analysis(article),internal medicine journal,"['atrial fibrillation', 'insomnia', 'meta-analysis', 'sleep', 'sleep duration', 'arousal', 'article', 'atrial fibrillation', 'disease association', 'human', 'insomnia', 'priority journal', 'risk', 'sleep disordered breathing', 'sleep quality', 'sleep time', 'systematic review', 'atrial fibrillation', 'incidence', 'meta analysis', 'observational study', 'pathophysiology', 'physiology', 'procedures', 'risk factor', 'sleep', 'sleep disorder', 'atrial fibrillation', 'humans', 'incidence', 'observational studies as topic', 'risk factors', 'sleep', 'sleep wake disorders']"
line loss reduction by optimal location of battery energy storage system for the daily operation in microgrid with distributed generations(article),international journal on energy conversion,"['battery energy storage system', 'line loss reduction', 'loss sensitivity', 'microgrid', 'optimal location']"
effects of combined lower thoracic epidural/ general anesthesia on pain control in patients undergoing elective lumbar spine surgery(article),spine,"['general anesthesia', 'low thoracic epidural anesthesia', 'lumbar spine surgery', 'pain', 'bupivacaine', 'cisatracurium', 'desflurane', 'fentanyl', 'hypertensive factor', 'morphine', 'opiate', 'propofol', 'bupivacaine', 'narcotic analgesic agent', 'adult', 'anesthesia induction', 'article', 'bleeding', 'clinical article', 'controlled study', 'elective surgery', 'endotracheal intubation', 'epidural analgesia', 'epidural anesthesia', 'female', 'general anesthesia', 'human', 'hypotension', 'lumbar spine', 'male', 'numeric rating scale', 'pain assessment', 'pilot study', 'postoperative analgesia', 'postoperative pain', 'priority journal', 'randomized controlled trial', 'recovery room', 'spine surgery', 'surgical patient', 'analgesia', 'epidural anesthesia', 'general anesthesia', 'lumbar vertebra', 'lumbosacral region', 'middle aged', 'procedures', 'surgery', 'treatment outcome', 'adult', 'analgesia, epidural', 'analgesics, opioid', 'anesthesia, epidural', 'anesthesia, general', 'bupivacaine', 'female', 'fentanyl', 'humans', 'lumbar vertebrae', 'lumbosacral region', 'male', 'middle aged', 'pain management', 'pain, postoperative', 'treatment outcome']"
"factors affecting contraceptive utilization in myanmar youth migrants in samutsakhon province, thailand(article)",journal of health research,"['contraception use', 'myanmar migrants', 'myanmar youths', 'thailand', 'youths']"
the utilization of concrete residue with electric arc furnace slag in the production of geopolymer bricks(article)(open access),engineering journal,"['concrete residue', 'economical feasibility', 'electric arc furnace slag', 'geopolymer brick']"
effect of pretreatment atmosphere of wox/sio2catalysts on metathesis of ethylene and 2-butene to propylene(article)(open access),rsc advances,"['butenes', 'calcination', 'ethylene', 'propylene', 'tungsten compounds', 'calcined catalysts', 'catalytic performance', 'high activity', 'metathesis reactions', 'n2 physisorption', 'nh3-tpd techniques', 'pre-treatment', 'tungsten oxide', 'catalyst activity']"
nanoparticles and organic matter: process and impact(book chapter),"nanomaterials in plants, algae, and microorganisms","['acid-functionalized metal oxides', 'bifunctional catalysts', 'fossil fuels', 'mixed metal oxides', 'nanocatalysts', 'nanomaterials', 'organic matter conversion', 'plant biomass']"
"memory loss and memory reorganization patterns in temporal lobe epilepsy patients undergoing anterior temporal lobe resection, as demonstrated by pre-versus post-operative functional mri(article)",journal of clinical neuroscience,"['anterior temporal lobectomy', 'functional mri', 'memory reorganization', 'neurocognitive function', 'temporal lobe epilepsy', 'topiramate', 'adult', 'amnesia', 'article', 'bold signal', 'clinical article', 'comparative study', 'controlled study', 'female', 'follow up', 'frontal lobe', 'functional magnetic resonance imaging', 'hippocampus', 'human', 'left hemisphere', 'longitudinal study', 'male', 'middle temporal gyrus', 'neurophysiological recruitment', 'occipital lobe', 'onset age', 'parahippocampal gyrus', 'parietal lobe', 'postoperative period', 'preoperative period', 'priority journal', 'recognition', 'retrospective study', 'right hemisphere', 'temporal lobe epilepsy', 'temporal lobectomy', 'verbal memory', 'memory', 'memory disorder', 'middle aged', 'nerve cell plasticity', 'nuclear magnetic resonance imaging', 'pathophysiology', 'physiology', 'procedures', 'temporal lobe', 'temporal lobe epilepsy', 'temporal lobectomy', 'young adult', 'adult', 'anterior temporal lobectomy', 'epilepsy, temporal lobe', 'female', 'humans', 'longitudinal studies', 'magnetic resonance imaging', 'male', 'memory', 'memory disorders', 'middle aged', 'neuronal plasticity', 'temporal lobe', 'young adult']"
direct oral anticoagulants and travel-related venous thromboembolism(article)(open access),open medicine (poland),"['apixaban', 'aviation medicine', 'dabigatran', 'edoxaban', 'rivaroxaban', 'travel-related illness', 'venous thromboembolism', 'anticoagulant agent', 'antidote', 'antivitamin k', 'apixaban', 'dabigatran etexilate', 'edoxaban', 'low molecular weight heparin', 'rivaroxaban', 'warfarin', 'anticoagulant therapy', 'article', 'bleeding', 'drug bioavailability', 'drug clearance', 'drug efficacy', 'drug half life', 'drug metabolism', 'drug monitoring', 'drug safety', 'flight', 'food drug interaction', 'hepatic clearance', 'human', 'off label drug use', 'orthopedic surgery', 'patient care', 'practice guideline', 'priority journal', 'reliability', 'renal clearance', 'risk assessment', 'scoring system', 'systematic review', 'time to maximum plasma concentration', 'travel', 'venous thromboembolism']"
"effects of age, hydration level, and cosmetic treatment on skin mechanical properties of thai(article)",thai journal of pharmaceutical sciences,"['age', 'bioengineering', 'correlation', 'efficacy', 'elasticity', 'hydration', 'adult', 'article', 'bioengineering', 'controlled study', 'cutaneous parameters', 'elasticity', 'female', 'groups by age', 'human', 'hydration', 'major clinical study', 'microemulsion', 'nanoemulsion', 'topical treatment', 'volunteer', 'young adult']"
"analysis of the complete mitochondrial genome of the giant honeybee, apis dorsata, (hymenoptera: apidae) in thailand(article)",conservation genetics resources,"['apis dorsata', 'giant honeybee, migratory species', 'thailand', 'trna structure']"
monitoring and controlling ovarian activity in wild felids(article),theriogenology,"['exogenous gonadotropins', 'felids', 'ovarian stimulation', 'ovarian suppression', 'hormone', 'animal', 'artificial insemination', 'breeding', 'embryo transfer', 'endangered species', 'environmental protection', 'felidae', 'female', 'infertility therapy', 'ovary', 'ovulation induction', 'physiologic monitoring', 'physiology', 'pregnancy', 'procedures', 'reproduction', 'season', 'veterinary medicine', 'wild animal', 'animals', 'animals, wild', 'breeding', 'conservation of natural resources', 'embryo transfer', 'endangered species', 'felidae', 'female', 'hormones', 'insemination, artificial', 'monitoring, physiologic', 'ovary', 'ovulation induction', 'pregnancy', 'reproduction', 'reproductive techniques, assisted', 'seasons']"
combined search for electroweak production of charginos and neutralinos in proton-proton collisions at √s=13 tev(article)(open access),journal of high energy physics,"['hadron-hadron scattering (experiments)', 'supersymmetry']"
decreasing duration of androgenic hormone feeding supplement for production of male monosex in tilapia (oreochromis spp.) fry(article),thai journal of veterinary medicine,"['-methyldihydrotestosterone', '17 α', 'gonadal development', 'male-monosex', 'mdht', 'tilapia fry', '17 alpha methyldihydrotestosterone', 'androgen', 'methyltestosterone', 'unclassified drug', 'article', 'body height', 'body weight gain', 'dietary supplement', 'gonad', 'histology', 'microscopy', 'oreochromis', 'oreochromis niloticus', 'sex differentiation', 'sex transformation']"
binding tio2nanoparticles to forward osmosis membranes: via memo-pmma-br monomer chains for enhanced filtration and antifouling performance(article)(open access),rsc advances,"['bromine compounds', 'chains', 'hydrophilicity', 'microfiltration', 'monomers', 'nanoparticles', 'polymethyl methacrylates', 'surface treatment', 'titanium dioxide', 'wastewater reclamation', 'wastewater treatment', 'water conservation', 'water filtration', 'water treatment', 'antifouling performance', 'enhanced filtration', 'filtration performance', 'forward osmosis membranes', 'surface coating method', 'surface hydrophilicity', 'titanium dioxides (tio2)', 'water and wastewater treatments', 'osmosis membranes', 'bromine compounds', 'chains', 'monomers', 'surface treatment', 'titanium dioxide', 'water', 'wettability']"
"effect of fertilizer type on cyanide, manganese, and arsenic phytoremediation in tailings from gold mining(article)",environmentasia,"['cyanide', 'fertilizer', 'gold mining', 'phytoremediation', 'tailing', 'absorption', 'arsenic', 'cyanide', 'fertilizer', 'gold mine', 'manganese', 'phytoremediation', 'soil pollution', 'tailings', 'dicotyledoneae']"
update noticelearn more about errata linking in scopus,european physical journal c,"['cms', 'diffraction', 'physics', 'qcd']"
dengue epidemics prediction: a survey of the state-of-the-art based on data science processes(review)(open access),ieee access,"['dengue', 'endemics', 'forecasting', 'prediction', 'review', 'surveillance system', 'survey', 'epidemiology', 'learning systems', 'reviews', 'surveying', 'surveys', 'tropics', 'dengue', 'endemics', 'mathematical analysis', 'medical professionals', 'mosquito-borne disease', 'predictive modelling', 'surveillance systems', 'world health organization', 'forecasting']"
pathologic replication-independent endogenous dna double-strand breaks repair defect in chronological aging yeast(article)(open access),frontiers in genetics,"['chronological aging', 'modified ends with insertion', 'repair defect', 'replication-independent endogenous dna double-strand breaks', 'saccharomyces cerevisiae']"
emerging infectious disease from bats(review),veterinary integrative sciences,"['bats', 'emerging infectious diseases', 'viral zoonotic disease']"
search for additional neutral mssm higgs bosons in the τ τ final state in proton-proton collisions at √s=13 tev(article)(open access),journal of high energy physics,"['beyond standard model', 'hadron-hadron scattering (experiments)', 'higgs physics', 'tau physics']"
novel gonioscopy score and predictive factors for intraocular pressure lowering after phacoemulsification(article),journal of glaucoma,"['cataract surgery', 'glaucoma', 'gonioscopy', 'intraocular pressure', 'age', 'aged', 'anterior eye chamber depth', 'article', 'cataract', 'cataract extraction', 'female', 'glaucoma', 'gonioscopy', 'human', 'intraocular pressure', 'major clinical study', 'male', 'multivariate analysis', 'observational study', 'phacoemulsification', 'postoperative period', 'preoperative period', 'priority journal', 'prospective study', 'regression analysis', 'scoring system', 'sex', 'cataract', 'cataract extraction', 'complication', 'glaucoma', 'intraocular pressure', 'methodology', 'middle aged', 'oculoplethysmography', 'pathophysiology', 'physiology', 'procedures', 'prognosis', 'rehabilitation', 'treatment outcome', 'very elderly', 'visual acuity', 'aged', 'aged, 80 and over', 'cataract', 'cataract extraction', 'female', 'glaucoma', 'gonioscopy', 'humans', 'intraocular pressure', 'male', 'middle aged', 'phacoemulsification', 'postoperative period', 'prognosis', 'prospective studies', 'research design', 'tonometry, ocular', 'treatment outcome', 'visual acuity']"
evaluation of a commercial elisa test kit on classical swine fever antibody detection using oral fluid samples(article),thai journal of veterinary medicine,"['classical swine fever', 'enzyme-linked immunosorbent assay', 'neutralizing peroxidase-linked assay', 'oral fluid', 'swine', 'immunoglobulin', 'immunoglobulin g antibody', 'neutralizing antibody', 'animal experiment', 'animal model', 'animal tissue', 'antibody detection', 'article', 'classical swine fever virus', 'clinical evaluation', 'commercial phenomena', 'controlled study', 'correlation analysis', 'disease surveillance', 'economic aspect', 'enzyme linked immunosorbent assay', 'in vivo study', 'incubation time', 'inoculation', 'mouth flora', 'nonhuman', 'optical density', 'piglet', 'polymerase chain reaction', 'sensitivity and specificity', 'serology', 'spectral sensitivity', 'temperature', 'vaccination', 'virus virulence']"
"substance use, anxiety, and self-management efficacy in hiv-positive individuals: a mediation analysis(article)(open access)",journal of substance use,"['anxiety', 'china', 'hiv', 'self-management', 'substance use', 'adult', 'anxiety', 'article', 'chinese', 'cross-sectional study', 'disease management', 'female', 'human', 'human immunodeficiency virus infected patient', 'major clinical study', 'male', 'priority journal', 'self care', 'substance use']"
natural antimicrobial lignin in polyvinyl alcohol and polyvinylpyrrolidone film for packaging application(conference paper),materials science forum,"['antimicrobial activity', 'composite film', 'lignin extracts', 'sugarcane bagasse', 'bagasse', 'blending', 'escherichia coli', 'fourier transform infrared spectroscopy', 'hydrogen bonds', 'lignin', 'nanotechnology', 'polyvinyl alcohols', 'anti-microbial activity', 'intermolecular hydrogen bonds', 'natural-antimicrobials', 'packaging applications', 'poly (vinyl alcohol) (pva)', 'staphylococcus aureus', 'sugar-cane bagasse', 'sugarcane bagasse lignins', 'composite films', 'application', 'bagasse', 'film', 'hydrogen bonds', 'mixing', 'packaging']"
measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton + jets events from p p collisions at s = 13 tev(article)(open access),physical review d,[]
"major depression model induced by repeated and intermittent lipopolysaccharide administration: long-lasting behavioral, neuroimmune and neuroprogressive alterations(article)",journal of psychiatric research,"['chronic depression', 'forced swimming test', 'lps', 'neuroinflammation', 'sat1', 'tryptophan catabolism', 'fluoxetine', 'kynurenine', 'lipopolysaccharide', 'messenger rna', 'n1 acetylspermidine', 'peptides and proteins', 'protein iba1', 'quinolinic acid', 'serotonin', 'tryptophan', 'unclassified drug', 'fluoxetine', 'lipopolysaccharide', 'serotonin', 'serotonin uptake inhibitor', 'tryptophan', 'anhedonia', 'animal experiment', 'animal model', 'animal tissue', 'article', 'behavior change', 'female', 'hippocampus', 'major depression', 'neuroimmunology', 'nonhuman', 'priority journal', 'protein expression', 'animal', 'animal behavior', 'disease model', 'drug effect', 'immunology', 'major depression', 'metabolism', 'mouse', 'animals', 'behavior, animal', 'depressive disorder, major', 'disease models, animal', 'female', 'fluoxetine', 'lipopolysaccharides', 'mice', 'serotonin', 'serotonin uptake inhibitors', 'tryptophan']"
"what healthcare professionals know about medical social work – a quantitative study in ho chi minh city, oncology hospital, vietnam(article)",journal of health research,"['healthcare professional', 'medical social work', 'vietnam', 'adult', 'article', 'doctor nurse relation', 'female', 'health care personnel', 'human', 'human experiment', 'interview', 'major clinical study', 'male', 'medical staff', 'pharmacist', 'social welfare', 'social work', 'structured questionnaire', 'viet nam']"
search for single production of vector-like quarks decaying to a b quark and a higgs boson(article)(open access),journal of high energy physics,"['beyond standard model', 'hadron-hadron scattering (experiments)', 'vector-like quarks']"
follow-up and evaluation of thai values promotion policy for educational institutes in the eastern region of thailand(article),international journal of assessment and evaluation,"['moral and virtue', 'thai value promotion policy', 'twelve thai values']"
behavioral aspects of commodity markets(book chapter),"commodities: markets, performance, and strategies",[]
"effects of donor age, donor sex, blood-component processing, and storage on cell-derived microparticle concentrations in routine blood-component preparation(article)",transfusion and apheresis science,"['blood-component', 'donor', 'flow cytometry', 'microparticle', 'storage', 'thrombocyte concentrate', 'adult', 'aged', 'article', 'blood cell count', 'blood component', 'blood component therapy', 'blood sampling', 'blood storage', 'donor', 'erythrocyte', 'erythrocyte concentrate', 'female', 'flow cytometry', 'hematocrit', 'human', 'human cell', 'male', 'mean corpuscular hemoglobin', 'mean corpuscular volume', 'mean platelet volume', 'membrane microparticle', 'quality control', 'thrombocyte poor plasma', 'thrombocyte rich plasma', 'adolescent', 'age', 'blood component therapy', 'blood storage', 'donor', 'membrane microparticle', 'metabolism', 'middle aged', 'procedures', 'thrombocyte', 'young adult', 'adolescent', 'adult', 'age factors', 'blood component transfusion', 'blood platelets', 'blood preservation', 'cell-derived microparticles', 'female', 'humans', 'male', 'middle aged', 'tissue donors', 'young adult']"
healthy behaviours and productive activities among thai older adults: a repeated cross-sectional analysis(article),social science and medicine,"['elderly', 'labour participation', 'lifestyle', 'multivariate probit', 'social participation', 'thailand', 'adult', 'elderly population', 'health care', 'labor participation', 'lifestyle', 'multivariate analysis', 'social participation', 'aged', 'alcohol abstinence', 'article', 'controlled study', 'cross-sectional study', 'diet', 'exercise', 'female', 'health behavior', 'health promotion', 'healthy aging', 'healthy lifestyle', 'human', 'male', 'mortality risk', 'physical activity', 'population research', 'probability', 'productivity', 'smoking cessation', 'social participation', 'thai (people)', 'very elderly', 'world health organization', 'employment', 'health behavior', 'lifestyle', 'questionnaire', 'social participation', 'statistics and numerical data', 'thailand', 'thailand', 'nicotiana tabacum', 'aged', 'cross-sectional studies', 'employment', 'female', 'health behavior', 'humans', 'life style', 'male', 'social participation', 'surveys and questionnaires', 'thailand']"
cbct quality assurance(book chapter),"maxillofacial cone beam computed tomography: principles, techniques and clinical applications",[]
